"Name","Gender","Party","Roles","IsParlamentMember","IsOrdförande","IsGovernmentMember","ISViceOrförande"
"Fredrik Ahlstedt","man","M","Statsrådsersättare, Ledamot, Suppleant","False","False","False","False"
"Emma Ahlström Köster","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Alireza Akhondi","man","C","Riksdagsledamot, Ledamot","False","False","True","False"
"Anders Alftberg","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Leila Ali Elmi","kvinna","MP","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Janine Alm Ericson","kvinna","MP","Ledamot, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Ann-Sofie Alm","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Sofia Amloh","kvinna","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Pontus Andersson Garpvall","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Andrea Andersson Tay","kvinna","V","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Johan Andersson","man","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Jonas Andersson","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Lars Andersson","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Magdalena Andersson","kvinna","S","Partiledare, Riksdagsledamot, Förste vice ordförande, Ledamot","False","False","True","True"
"Tobias Andersson","man","SD","Riksdagsledamot, Ordförande, Ersättare","False","True","True","False"
"Lili André","kvinna","KD","Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Alexandra Anstrell","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Ordförande, Suppleant","False","True","True","False"
"Clara Aranda","kvinna","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Mats Arkhem","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Ludvig Aspling","man","SD","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Nadja Awad","kvinna","V","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Gulan Avci","kvinna","L","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Kristina Axén Olin","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Yusuf Aydin","man","KD","Statsrådsersättare, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Sanna Backeskog","kvinna","S","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Lars Beckman","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Denis Begic","man","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Mathias Bengtsson","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
